#Date/Time of Update: 2018-02-18 9:28:10 PM,#Team ID,#Team Abbr.,#Team City,#Team Name,#Rank,#GamesPlayed,#PassAttempts,#PassCompletions,#PassPct,#PassAttemptsPerGame,#PassGrossYards,#PassAvg,#PassNetYards,#PassYardsPerAtt,#PassYardsPerGame,#PassTD,#PassTDPct,#PassInt,#PassIntPct,#PassLng,#Pass20Plus,#Pass40Plus,#PassSacks,#PassSackY,#QBRating,#RushAttempts,#RushAttemptsPerGame,#RushYards,#RushAverage,#RushYardsPerGame,#RushTD,#RushLng,#Rush1stDowns,#Rush1stDownsPct,#Rush20Plus,#Rush40Plus,#RushFumbles,#Receptions,#RecYards,#RecAverage,#RecYardsPerGame,#RecTD,#RecLng,#Rec1stDowns,#Rec20Plus,#Rec40Plus,#RecFumbles,#TackleSolo,#TackleTotal,#TackleAst,#Sacks,#SackYds,#TacklesForLoss,#Interceptions,#IntTD,#IntYds,#IntAverage,#IntLng,#PassesDefended,#Stuffs,#StuffYds,#KB,#Safeties,#Fumbles,#FumLost,#FumForced,#FumOwnRec,#FumOppRec,#FumRecYds,#FumTotalRec,#FumTD,#KrRet,#KrYds,#KrAvg,#KrLng,#KrTD,#Kr20Plus,#Kr40Plus,#KrFC,#KrFum,#PrRet,#PrYds,#PrAvg,#PrLng,#PrTD,#Pr20Plus,#Pr40Plus,#PrFC,#PrFum,#FgBlk,#FgMade,#FgAtt,#FgPct,#FgMade1_19,#FgAtt1_19,#Fg1_19Pct,#FgMade20_29,#FgAtt20_29,#Fg20_29Pct,#FgMade30_39,#FgAtt30_39,#Fg30_39Pct,#FgMade40_49,#FgAtt40_49,#Fg40_49Pct,#FgMade50Plus,#FgAtt50Plus,#Fg50PlusPct,#FgLng,#XpBlk,#XpMade,#XpAtt,#XpPct,#FgAndXpPts,#KoPct,#Kickoffs,#KoYds,#KoOOB,#KoAvg,#KoTB,#KoRet,#KoRetYds,#KoRetAvgYds,#KoTD,#KoOS,#KoOSR,#Punts,#PuntYds,#PuntNetYds,#PuntLng,#PuntAvg,#PuntNetAvg,#PuntBlk,#PuntOOB,#PuntDown,#PuntIn20,#PuntIn20Pct,#PuntTB,#PuntTBPct,#PuntFC,#PuntRet,#PuntRetYds,#PuntRetAvg,#TwoPtAtt,#TwoPtMade,#TwoPtPassAtt,#TwoPtPassMade,#TwoPtRushAtt,#TwoPtRushMade,#FirstDownsTotal,#FirstDownsPass,#FirstDownsRush,#FirstDownsPenalty,#ThirdDowns,#ThirdDownsAtt,#ThirdDownsPct,#FourthDowns,#FourthDownsAtt,#FourthDownsPct,#Penalties,#PenaltyYds,#OffensePlays,#OffenseYds,#OffenseAvgYds,#TotalTD,#Wins,#Losses,#Ties,#OTWins,#OTLosses,#WinPct,#PointsFor,#PointsAgainst,#PointDifferential
,50,NE,New England,Patriots,1,3,141,91,64.5,47.0,1076,7.6,1034,6.9,344.7,5,3.6,3,2.1,48,15,3,9,42,90.6,78,26.0,246,3.2,82.0,4,18,20,25.6,0,0,2,91,1076,11.8,358.7,5,48,54,15,3,0,110,185,75,8,61,14,4,0,95,23.8,37,14,57,89,0,0,3,2,2,1,2,0,3,0,5,167,33.4,98,1,2,1,0,0,8,74,9.2,26,0,1,0,7,0,0,7,7,100.0,1,1,100.0,1,1,100.0,2,2,100.0,3,3,100.0,0,0,0.0,47,0,7,9,77.8,28,0.0,19,1164,0,61.3,9,10,156,15.6,0,0,0,11,470,425,58,42.7,38.6,0,0,2,6,54.6,0,0.0,5,4,45,11.2,2,2,1,1,1,1,80,54,20,6,23,45,51.1,1,1,100.0,10,78,228,1280,5.6,9,3,0,0,0,0,100.000,86,61,31
,59,PIT,Pittsburgh,Steelers,2,3,96,64,66.7,32.0,737,7.7,722,7.4,240.7,3,3.1,4,4.2,62,8,3,2,15,82.7,89,29.7,404,4.5,134.7,3,38,22,24.7,3,0,0,64,737,11.5,245.7,3,62,36,8,3,0,127,193,66,8,57,21,2,0,11,5.5,10,5,61,85,0,0,1,1,3,0,3,0,3,0,9,161,17.9,31,0,4,0,0,0,4,28,7.0,10,0,0,0,2,0,0,8,8,100.0,0,0,0.0,2,2,100.0,3,3,100.0,3,3,100.0,0,0,0.0,45,0,3,5,60.0,27,0.0,16,990,0,61.9,6,10,232,23.2,0,0,0,4,160,151,47,40.0,37.8,0,0,0,2,50.0,1,25.0,2,1,9,9.0,1,1,1,1,0,0,59,36,22,1,21,40,52.5,0,1,0.0,12,132,187,1126,6.0,6,2,1,0,0,0,66.667,65,52,7
,62,GB,Green Bay,Packers,3,3,129,80,62.0,43.0,1005,7.8,926,6.7,308.7,9,7.0,2,1.6,55,17,1,10,79,103.0,59,19.7,261,4.4,87.0,3,28,17,28.8,2,0,1,80,1005,12.6,335.0,9,55,53,17,1,0,136,169,33,4,22,10,2,0,96,48.0,78,22,65,109,0,0,1,1,1,0,1,11,1,0,6,135,22.5,33,0,4,0,0,0,5,56,11.2,23,0,1,0,6,0,0,3,4,75.0,0,0,0.0,0,0,0.0,1,1,100.0,0,1,0.0,2,2,100.0,56,0,10,10,100.0,19,0.0,14,901,0,64.4,8,6,126,21.0,0,0,0,11,523,497,66,47.6,45.2,0,0,2,3,27.3,1,9.1,3,5,26,5.2,2,1,0,0,2,1,74,53,17,4,15,37,40.5,3,4,75.0,11,105,198,1187,6.0,12,2,1,0,0,0,66.667,93,88,5
,68,ATL,Atlanta,Falcons,4,3,98,70,71.4,32.7,1014,10.4,955,9.0,318.3,9,9.2,0,0.0,73,13,2,8,59,135.3,77,25.7,302,3.9,100.7,4,37,16,20.8,1,0,2,70,1014,14.5,338.0,9,73,54,13,2,0,145,189,44,10,60,22,4,1,73,18.2,45,15,75,123,0,1,4,1,2,3,2,-4,5,0,6,83,13.8,23,0,1,0,0,0,3,25,8.3,14,0,0,0,3,0,0,3,3,100.0,0,0,0.0,1,1,100.0,2,2,100.0,0,0,0.0,0,0,0.0,35,0,13,14,92.9,22,0.0,21,1362,0,64.9,14,7,238,34.0,0,0,0,11,492,373,60,44.7,33.9,0,0,1,6,54.6,1,9.1,4,5,119,23.8,0,0,0,0,0,0,75,54,16,5,17,33,51.5,0,0,0.0,15,106,183,1257,6.9,13,2,1,0,0,1,66.667,108,75,33
,64,HOU,Houston,Texans,5,2,65,37,56.9,32.5,366,5.6,349,5.1,174.5,2,3.1,3,4.6,38,1,0,3,17,64.0,66,33.0,209,3.2,104.5,2,19,10,15.2,0,0,1,37,366,9.9,183.0,2,38,17,1,0,0,80,117,37,5,30,12,5,0,42,8.4,20,20,62,58,0,0,2,0,2,2,1,-2,3,0,6,98,16.3,22,0,1,0,0,0,4,57,14.2,18,0,0,0,3,0,0,5,5,100.0,0,0,0.0,1,1,100.0,2,2,100.0,1,1,100.0,1,1,100.0,50,0,4,4,100.0,19,0.0,10,642,0,64.2,5,5,172,34.4,0,0,0,17,755,650,63,44.4,38.2,0,0,0,7,41.2,2,11.8,5,10,105,10.5,0,0,0,0,0,0,32,17,10,5,6,30,20.0,0,0,0.0,12,140,134,558,4.2,4,1,1,0,0,0,50.000,43,48,-5
,79,SEA,Seattle,Seahawks,6,2,60,40,66.7,30.0,449,7.5,418,6.3,209.0,4,6.7,2,3.3,42,5,2,6,31,97.2,59,29.5,278,4.7,139.0,1,32,16,27.1,2,0,0,40,449,11.2,224.5,4,42,22,5,2,0,76,116,40,6,38,13,0,0,0,0.0,0,5,43,52,0,0,0,0,1,0,0,0,0,0,6,223,37.2,78,0,5,2,0,0,2,85,42.5,80,0,1,1,3,0,0,4,4,100.0,0,0,0.0,2,2,100.0,1,1,100.0,1,1,100.0,0,0,0.0,43,0,4,5,80.0,16,0.0,11,703,0,63.9,6,5,94,18.8,0,0,0,5,232,222,60,46.4,44.4,0,0,2,3,60.0,0,0.0,1,1,10,10.0,0,0,0,0,0,0,41,22,16,3,14,27,51.8,2,2,100.0,13,80,125,696,5.6,5,1,1,0,0,0,50.000,46,42,4
,49,MIA,Miami,Dolphins,7,1,36,29,80.6,36.0,289,8.0,248,6.0,248.0,1,2.8,1,2.8,37,3,0,5,41,97.8,21,21.0,52,2.5,52.0,0,15,1,4.8,0,0,0,29,289,10.0,289.0,1,37,16,3,0,0,41,67,26,1,9,5,2,0,27,13.5,16,3,13,19,0,0,3,2,0,1,0,0,1,0,4,117,29.2,58,0,2,1,0,0,1,9,9.0,9,0,0,0,0,0,0,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,47,0,0,0,0.0,6,0.0,3,194,0,64.7,0,3,49,16.3,0,0,0,2,102,93,61,51.0,46.5,0,0,0,0,0.0,1,50.0,0,1,9,9.0,1,0,1,0,0,0,18,16,1,1,6,14,42.9,2,4,50.0,6,64,62,300,4.8,1,0,1,0,0,0,0.000,12,30,-18
,73,KC,Kansas City,Chiefs,8,1,34,20,58.8,34.0,172,5.1,166,4.7,166.0,1,2.9,1,2.9,24,3,0,1,6,69.7,14,14.0,61,4.4,61.0,1,11,4,28.6,0,0,0,20,172,8.6,172.0,1,24,9,3,0,0,43,73,30,1,6,6,1,0,0,0.0,0,5,20,14,0,0,1,1,0,0,0,0,0,0,5,97,19.4,25,0,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,48,0,1,1,100.0,4,0.0,4,245,0,61.2,1,3,50,16.7,0,0,0,3,135,126,54,45.0,42.0,0,0,0,0,0.0,0,0.0,1,2,9,4.5,1,0,1,0,0,0,15,9,4,2,2,9,22.2,2,2,100.0,6,60,49,227,4.6,2,0,1,0,0,0,0.000,16,18,-2
,74,OAK,Oakland,Raiders,9,1,45,18,40.0,45.0,161,3.6,139,2.9,139.0,1,2.2,3,6.7,20,1,0,3,22,30.0,21,21.0,64,3.0,64.0,1,18,3,14.3,0,0,0,18,161,8.9,161.0,1,20,11,1,0,0,56,73,17,0,0,6,0,0,0,0.0,0,5,23,17,0,0,0,0,0,0,0,0,0,0,2,38,19.0,20,0,1,0,0,0,6,70,11.7,37,0,1,0,2,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2,2,100.0,2,0.0,3,172,0,57.3,0,3,46,15.3,0,0,0,8,386,363,62,48.2,45.4,0,0,2,2,25.0,1,12.5,1,2,23,11.5,0,0,0,0,0,0,16,11,3,2,2,16,12.5,1,2,50.0,8,63,69,203,2.9,2,0,1,0,0,0,0.000,14,27,-13
,52,DAL,Dallas,Cowboys,10,1,38,24,63.2,38.0,302,8.0,291,7.3,291.0,3,7.9,1,2.6,40,3,1,2,11,103.2,23,23.0,130,5.6,130.0,0,22,6,26.1,1,0,0,24,302,12.6,302.0,3,40,16,3,1,0,39,49,10,3,29,7,1,0,27,27.0,27,4,23,39,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,8,8.0,8,0,0,0,1,0,0,3,3,100.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,2,2,100.0,52,0,2,2,100.0,11,0.0,6,382,0,63.7,5,1,12,12.0,0,0,0,2,95,95,53,47.5,47.5,0,0,0,2,100.0,0,0.0,2,0,0,0.0,1,1,0,0,1,1,24,16,6,2,6,11,54.6,0,0,0.0,5,45,63,421,6.7,3,0,1,0,0,0,0.000,31,34,-3
,53,NYG,New York,Giants,11,1,44,23,52.3,44.0,299,6.8,288,6.3,288.0,1,2.3,1,2.3,51,3,2,2,11,72.1,17,17.0,70,4.1,70.0,0,14,3,17.6,0,0,0,23,299,13.0,299.0,1,51,12,3,2,0,55,69,14,5,31,7,0,0,0,0.0,0,6,27,34,0,0,1,1,0,0,0,0,0,0,5,103,20.6,31,0,4,0,0,0,3,4,1.3,3,0,0,0,1,0,0,2,2,100.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,40,0,1,1,100.0,7,0.0,4,235,0,58.8,0,4,108,27.0,0,0,0,7,277,221,55,39.6,31.6,0,0,0,3,42.9,0,0.0,2,5,56,11.2,0,0,0,0,0,0,15,12,3,0,5,16,31.2,1,1,100.0,3,42,63,358,5.7,1,0,1,0,0,0,0.000,13,38,-25
,61,DET,Detroit,Lions,12,1,32,18,56.2,32.0,205,6.4,182,5.2,182.0,0,0.0,0,0.0,30,3,0,3,23,75.6,15,15.0,49,3.3,49.0,0,17,2,13.3,0,0,0,18,205,11.4,205.0,0,30,10,3,0,0,37,81,44,3,14,6,0,0,0,0.0,0,1,20,24,0,0,1,0,0,1,0,0,1,0,4,76,19.0,22,0,2,0,0,0,0,0,0.0,0,0,0,0,1,0,0,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,53,0,0,0,0.0,6,0.0,3,198,0,66.0,2,1,20,20.0,0,0,0,5,232,227,55,46.4,45.4,0,0,1,2,40.0,0,0.0,3,1,5,5.0,0,0,0,0,0,0,14,10,2,2,2,11,18.2,0,2,0.0,7,68,50,231,4.6,0,0,1,0,0,0,0.000,6,26,-20
